recipient,party,party_source,from_crypto_native,native_items,from_diversified_core,diversified_items,name_variants_combined
Asian Pacific American Institute For Congressional Studies,,,0.0,0,100000.0,4,1
Congressional Board Members,,,0.0,0,100000.0,1,1
"Sponsorship Of The 2024 Women'S Summit ""Lifting As We Climb Mentoring And Motivating""",,,0.0,0,100000.0,1,1
Sponsorship Of The Women'S E3 Summit (Payment 2 Of 2),,,0.0,0,100000.0,1,1
"Board Member - Carleen Herring, Us Dept Of Commerce",,,0.0,0,100000.0,1,1
Carleen Herring -Us Department Of Commerce,,,0.0,0,100000.0,1,1
Sponsorship Of The Hip Hop Block Party,,,0.0,0,100000.0,1,1
Sen. Tina Smith (D-MN),(D-MN),members-table,0.0,0,94000.0,35,1
Rep. Maxine Waters (D-CA),(D-CA),members-table,2900.0,1,89000.0,33,1
Sponsorship And Support Of The 2022 Library Of Congress National Book Festival,,,0.0,0,90000.0,1,1
Rep. Ashley Hinson (R-IA),(R-IA),members-table,1000.0,1,88095.0,33,1
Us Court Of Appeals - The Hon. James E. Graves Jr. And The Hon. Cornelia T.L. Pillard,,,0.0,0,87000.0,1,1
Zach Nunn,,,0.0,0,85500.0,43,1
Rep. Roger Williams (R-TX),(R-TX),members-table,0.0,0,85250.0,32,1
Rep. Claudia Tenney (R-NY),(R-NY),members-table,1000.0,1,83000.0,41,1
Sen. Tim Kaine (D-VA),(D-VA),members-table,0.0,0,83750.0,30,1
Rep. Dusty Johnson (R-SD),(R-SD),members-table,6500.0,5,77095.0,38,2
Rep. Lisa C. McClain (R-MI),(R-MI),members-table,1000.0,1,82500.0,33,1
Rep. Troy Balderson (R-OH),(R-OH),members-table,0.0,0,82095.0,30,1
Rep. Jimmy Panetta (D-CA),(D-CA),members-table,1000.0,1,81000.0,42,1
Rep. Cathy Mcmorris Rodgers,,,0.0,0,81000.0,27,1
Rep. Scott Fitzgerald (R-WI),(R-WI),members-table,0.0,0,80750.0,37,1
"James Griffin, Federal Housing Finance Agency",,,0.0,0,80000.0,1,1
Blue Dog Political Action Committee,,,0.0,0,80000.0,19,1
George W. Bush,,,0.0,0,80000.0,1,1
Rep. Gwen Moore (D-WI),(D-WI),members-table,0.0,0,79500.0,32,1
Rep. David Kustoff (R-TN),(R-TN),members-table,0.0,0,78000.0,33,1
"Hill, French",,,0.0,0,78000.0,24,1
Rep. Joseph D. Morelle (D-NY),(D-NY),members-table,0.0,0,77500.0,33,1
"The Hon. James E. Graves Jr. Us Court Of Appeals, The Hon. Cornelia T.L. Pillard Us Court Of Appeals",,,0.0,0,77000.0,1,1
Rep. Angie Craig (D-MN),(D-MN),members-table,21000.0,9,55590.0,28,2
Rep. Robin L. Kelly (D-IL),(D-IL),members-table,0.0,0,75133.0,34,1
Rep. Joe Neguse (D-CO),(D-CO),members-table,0.0,0,75000.0,34,1
"Barbara Favola, Senator, Commonwealth Of Virginia",,,0.0,0,75000.0,1,1
National Republican Congressional Commitee,,,0.0,0,75000.0,5,1
"Smith, Jason",,,0.0,0,71500.0,25,1
Rep. Susie Lee (D-NV),(D-NV),members-table,1000.0,2,70185.0,31,1
Sponsorship Of The Chairman'S Level Membership,,,0.0,0,70000.0,2,1
Across The Aisle PAC,,,0.0,0,70000.0,14,1
Sponsorship Of The 2024 National Book Festival,,,0.0,0,70000.0,1,1
"Scalise, Steve",,,0.0,0,70000.0,17,1
"Marla Bilonick, Department Of Treasurys Cdfi Fund Community Development Advisory Board",,,0.0,0,70000.0,1,1
Sen. Kirsten E. Gillibrand (D-NY),(D-NY),members-table,11600.0,5,57000.0,21,3
Rep. Haley M. Stevens (D-MI),(D-MI),members-table,1000.0,1,67500.0,21,1
Sen. Marsha Blackburn (R-TN),(R-TN),members-table,0.0,0,68500.0,23,1
Maggie Hassan,,,0.0,0,68500.0,27,1
Sen. David McCormick (R-PA),(R-PA),members-table,825.0,1,67600.0,24,2
Sen. Pete Ricketts (R-NE),(R-NE),members-table,0.0,0,68000.0,23,1
Sen. Patty Murray (D-WA),(D-WA),members-table,0.0,0,67500.0,19,1
Rep. John B. Larson (D-CT),(D-CT),members-table,0.0,0,66000.0,25,1
Rep. Derek Kilmer,,,0.0,0,65500.0,36,1
Federal Housing Finance Agency Nicholas Satriano,,,0.0,0,65000.0,1,1
Building Bridges PAC,,,0.0,0,65000.0,13,1
"Barr, Andy",,,0.0,0,64500.0,27,1
Rep. Rick Larsen (D-WA),(D-WA),members-table,0.0,0,64500.0,27,1
Rep. Donald Norcross (D-NJ),(D-NJ),members-table,0.0,0,64000.0,28,1
Rep. Sharice Davids (D-KS),(D-KS),members-table,0.0,0,62590.0,30,1
Rep. Judy Chu (D-CA),(D-CA),members-table,0.0,0,62500.0,24,1
Rep. Blake D. Moore (R-UT),(R-UT),members-table,1000.0,1,61185.0,30,1
Rep. Sylvia R. Garcia (D-TX),(D-TX),members-table,0.0,0,62000.0,29,1
Sen. Margaret Wood Hassan (D-NH),(D-NH),members-table,0.0,0,61834.0,29,1
Membership Dues,,,0.0,0,61800.0,5,1
Rep. Matt Cartwright,,,0.0,0,61500.0,19,1
Sen. Eric Schmitt (R-MO),(R-MO),members-table,0.0,0,61000.0,16,1
Sen. John R. Curtis (R-UT),(R-UT),members-table,500.0,1,60000.0,22,2
Republican Main Street Partnership PAC,,,5000.0,1,55000.0,11,2
Sen. Dick Durbin,,,0.0,0,60000.0,6,1
Rep. Nicole Malliotakis (R-NY),(R-NY),members-table,0.0,0,60000.0,29,1
National Republican Congressional Committee (Nrcc),,,0.0,0,60000.0,4,1
Sponsorship Of The 2023 Alc Phoenix Awards Dinner And The 2023 Economic Summit Series,,,0.0,0,60000.0,1,1
Sponsorship Of The Leadership Institute Programs,,,0.0,0,60000.0,1,1
Sponsorship Of The Annual Cbcf Legislative Conference. Entity Controlled By Covered Officials,,,0.0,0,60000.0,1,1
Sen. Martin Heinrich (D-NM),(D-NM),members-table,1000.0,1,58500.0,26,1
Rep. Juan Vargas (D-CA),(D-CA),members-table,0.0,0,59500.0,30,1
Rep. Zoe Lofgren (D-CA),(D-CA),members-table,1000.0,1,58100.0,25,1
Rep. Michelle Steel,,,1000.0,1,57595.0,21,1
Rep. Tim Walberg (R-MI),(R-MI),members-table,0.0,0,58521.0,25,1
"Neal, Richard",,,0.0,0,58500.0,19,1
"Huizenga, Bill",,,0.0,0,58000.0,24,1
"Rep. Frank Pallone, Jr. (D-NJ)",(D-NJ),members-table,250.0,1,57500.0,17,1
Rep. Nikema Williams (D-GA),(D-GA),members-table,0.0,0,57500.0,35,1
Us Senate - Mark R Warner (Va),,,0.0,0,57440.0,2,1
Sen. Joni Ernst (R-IA),(R-IA),members-table,2000.0,1,55000.0,15,1
Sen. Ted Budd (R-NC),(R-NC),members-table,2000.0,1,55000.0,15,2
"Emmer, Tom",,,0.0,0,57000.0,25,1
Rep. Julia Letlow (R-LA),(R-LA),members-table,0.0,0,56500.0,27,1
Rep. Mike Quigley (D-IL),(D-IL),members-table,0.0,0,56500.0,22,1
Rep. Adrian Smith (R-NE),(R-NE),members-table,0.0,0,55900.0,24,1
Donation,,,0.0,0,55000.0,5,1
Members Of The CBC,,,0.0,0,55000.0,2,1
"Sponsorship Of The Alc Phoenix Awards, Prayer Breakfast, And Annual Legislative Conference",,,0.0,0,55000.0,1,1
DSCC (Building Fund),,,0.0,0,55000.0,4,1
Rep. Adam Smith (D-WA),(D-WA),members-table,0.0,0,54500.0,22,1
Rep. Brett Guthrie (R-KY),(R-KY),members-table,0.0,0,54000.0,24,1
Rep. Veronica Escobar (D-TX),(D-TX),members-table,0.0,0,54000.0,23,1
Rep. Deborah K. Ross (D-NC),(D-NC),members-table,0.0,0,54000.0,23,1
Sen. Pat Toomey (R-PA),(R-PA),manual,53790.0,1,0.0,0,1
Sen. Lisa Murkowski (R-AK),(R-AK),members-table,0.0,0,53500.0,18,1
Sen. Chris Van Hollen (D-MD),(D-MD),members-table,0.0,0,52900.0,18,1
Sen. James Lankford (R-OK),(R-OK),members-table,250.0,1,52500.0,19,1
Congressional Black Caucus,,,45000.0,5,0.0,0,1
Sen. Bernie Moreno (R-OH),(R-OH),members-table,15925.0,9,0.0,0,2
JFC Representing Over 25 Different Committees (Ld-203 Space Restrictions Prohibit Listing Out Of Individual Committees),,,15500.0,3,0.0,0,1
"Congressional Black Caucus Foundation, Sen. Lisa Blunt Rochester, Rep. Hakeem Jeffries, Rep. Gregory Meeks, Rep. Yvette Clarke, Rep. Robin Kelly, Rep. Lauren Underwood, Rep. Jonathan Jackson, Rep. Dwight Evans And Rep. Gabe Amo",,,15000.0,1,0.0,0,1
"Congressional Black Caucus Foundation, Rep. Troy Carter And Rep. Cleo Fields",,,15000.0,1,0.0,0,1
Rep. French Hill And National Republican Congressional Committee (Nrcc),,,13000.0,1,0.0,0,1
