display_row,giver_slice,recipient_raw,ld203_filer_org,filer_type,contributor_name,date,amount,contribution_type,n_amendment_versions,filing_uuid,lda_public_url
Sen. Bill Hagerty (R-TN),diversified_core,SEN BILL HAGERTY,AMERICAN BANKERS ASSOCIATION,organization,AMERICAN BANKERS ASSOCIATION PAC BANKPAC,2025-04-30,2500,feca,1,3b59d0c1-3f93-4da9-be3b-f16be44da9dd,https://lda.senate.gov/filings/public/contribution/3b59d0c1-3f93-4da9-be3b-f16be44da9dd/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN. BILL HAGERTY,NATIONAL VENTURE CAPITAL ASSOCIATION,organization,NATIONAL VENTURE CAPITAL ASSOCIATION VENTUREPAC,2025-06-03,2500,feca,1,ad9b0550-10bd-4b65-9719-3ceeb3a298cf,https://lda.senate.gov/filings/public/contribution/ad9b0550-10bd-4b65-9719-3ceeb3a298cf/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN. BILL HAGERTY,INVESTMENT COMPANY INSTITUTE,organization,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE (ICI PAC),2025-06-26,2500,feca,1,538ee60c-839f-43ac-9498-9ff0a3c16999,https://lda.senate.gov/filings/public/contribution/538ee60c-839f-43ac-9498-9ff0a3c16999/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN. BILL HAGERTY,WESTERN ALLIANCE BANCORPORATION,organization,WESTERN ALLIANCE BANCORPORATION POLITICAL ACTION COMMITTEE (WABPAC),2025-09-15,2500,feca,1,782b405d-d439-437e-b289-81ec7ed29e58,https://lda.senate.gov/filings/public/contribution/782b405d-d439-437e-b289-81ec7ed29e58/print/
Sen. Bill Hagerty (R-TN),diversified_core,BILL HAGERTY,AMERICAN EXPRESS COMPANY,organization,AMERICAN EXPRESS COMPANY POLITICAL ACTION COMMITTEE (AXPPAC),2025-10-09,2500,feca,1,9bae4c37-2ec4-48d7-8032-a84ee8acc1f0,https://lda.senate.gov/filings/public/contribution/9bae4c37-2ec4-48d7-8032-a84ee8acc1f0/print/
Sen. Bill Hagerty (R-TN),diversified_core,BILL HAGERTY,HSBC TECHNOLOGY AND SERVICES USA INC.,organization,HSBC TECHNOLOGY AND SERVICES USA INC. FEDERAL PAC,2025-12-15,2500,feca,1,6ee7e189-2c1d-47d0-b5ef-bf5b803eefe6,https://lda.senate.gov/filings/public/contribution/6ee7e189-2c1d-47d0-b5ef-bf5b803eefe6/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN. BILL HAGERTY,"ROBINHOOD MARKETS, INC.",organization,"ROBINHOOD MARKETS, INC. PAC",2022-07-12,2000,feca,1,fa377519-d2a1-405f-b7d6-22d46b51d58a,https://lda.senate.gov/filings/public/contribution/fa377519-d2a1-405f-b7d6-22d46b51d58a/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN. BILL HAGERTY,STATE STREET BANK AND TRUST COMPANY AND ITS AFFILIATES,organization,STATE STREET BANK AND TRUST COMPANY VOLUNTARY PAC,2024-05-16,2000,feca,1,2e3542f8-e24d-4e20-9d40-065267ea37f0,https://lda.senate.gov/filings/public/contribution/2e3542f8-e24d-4e20-9d40-065267ea37f0/print/
Sen. Bill Hagerty (R-TN),diversified_core,BILL HAGERTY,"CITIGROUP WASHINGTON, INC.",organization,CITIGROUP INC. PAC - FEDERAL (CITI PAC - FEDERAL),2025-05-01,2000,feca,1,65e3512b-25cc-4fa7-b2d7-cd4dadf370af,https://lda.senate.gov/filings/public/contribution/65e3512b-25cc-4fa7-b2d7-cd4dadf370af/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN BILL HAGERTY,NATIONAL FOOTBALL LEAGUE,organization,GRIDIRONPAC,2025-06-09,2000,feca,1,e5f9c76d-984b-4885-a930-6d2195c29bbb,https://lda.senate.gov/filings/public/contribution/e5f9c76d-984b-4885-a930-6d2195c29bbb/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN. BILL HAGERTY,"ROBINHOOD MARKETS, INC.",lobbyist,SELF,2025-11-20,2000,feca,1,2573e263-22cb-45ce-a759-a1424c4b107f,https://lda.senate.gov/filings/public/contribution/2573e263-22cb-45ce-a759-a1424c4b107f/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN. BILL HAGERTY,MASTERCARD WORLDWIDE,organization,SELF,2022-02-10,1500,feca,1,f75c88ca-2444-439d-bb57-611940429c28,https://lda.senate.gov/filings/public/contribution/f75c88ca-2444-439d-bb57-611940429c28/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN. BILL HAGERTY,MELLON FINANCIAL SERVICES CORPORATION #1,organization,BIPARTISAN POLITICAL ACTION COMMITTEE/THE BANK OF NEW YORK MELLON CORPORATION BIPAC/BNYMC,2022-02-16,1500,feca,1,ce19b0b1-66f3-4ebc-b71c-c494996b1bc8,https://lda.senate.gov/filings/public/contribution/ce19b0b1-66f3-4ebc-b71c-c494996b1bc8/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN. BILL HAGERTY,NATIONAL VENTURE CAPITAL ASSOCIATION,organization,NATIONAL VENTURE CAPITAL ASSOCIATION VENTUREPAC,2022-11-07,1500,feca,1,41c47e70-0538-41ec-aead-f15ae3a58c89,https://lda.senate.gov/filings/public/contribution/41c47e70-0538-41ec-aead-f15ae3a58c89/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN. BILL HAGERTY,NATIONAL VENTURE CAPITAL ASSOCIATION,organization,NATIONAL VENTURE CAPITAL ASSOCIATION VENTUREPAC,2024-10-18,1500,feca,1,1c879735-d581-49bc-a7f6-be6d81d8757e,https://lda.senate.gov/filings/public/contribution/1c879735-d581-49bc-a7f6-be6d81d8757e/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN. BILL HAGERTY,MELLON FINANCIAL SERVICES CORPORATION #1,organization,POLITICAL ACTION COMMITTEE/THE BANK OF NEW YORK MELLON CORPORATION-FEDERAL(BNY MELLON-FED),2025-05-20,1500,feca,1,5f81279a-a577-4bbf-a3f3-b842ebac3957,https://lda.senate.gov/filings/public/contribution/5f81279a-a577-4bbf-a3f3-b842ebac3957/print/
Sen. Bill Hagerty (R-TN),diversified_core,SEN. BILL HAGERTY,"NASDAQ, INC.",organization,"NASDAQ, INC. PAC",2025-06-26,1500,feca,1,7941627a-9327-4a25-bb77-557a38767860,https://lda.senate.gov/filings/public/contribution/7941627a-9327-4a25-bb77-557a38767860/print/
