quarter,kind,registrant,client,income_trail4_or_firstq,filing_uuid,lda_public_url
2023-Q3,hire,HB STRATEGIES (FKA HUSCH BLACKWELL STRATEGIES),WESTWAY ENTERPRISES LLC,90000,e3416553-e5e5-4bee-b4a0-b1f6a47f495c,https://lda.senate.gov/filings/public/filing/e3416553-e5e5-4bee-b4a0-b1f6a47f495c/print/
2023-Q3,hire,"BROWNSTEIN HYATT FARBER SCHRECK, LLP","WRIGHT & SCHULTE, LLC",90000,a3886a47-8f56-493c-83e0-ee09d9f2ebcc,https://lda.senate.gov/filings/public/filing/a3886a47-8f56-493c-83e0-ee09d9f2ebcc/print/
2023-Q3,hire,INVARIANT LLC,ARM HOLDINGS PLC,80000,01ea496d-fd4b-48c4-a0d3-c72c65dca8e6,https://lda.senate.gov/filings/public/filing/01ea496d-fd4b-48c4-a0d3-c72c65dca8e6/print/
2023-Q3,hire,HOLLAND & KNIGHT LLP,CENTER FOR HUMANE TECHNOLOGY,80000,1527f256-e6a2-447b-a7d4-c7073390930f,https://lda.senate.gov/filings/public/filing/1527f256-e6a2-447b-a7d4-c7073390930f/print/
2023-Q3,hire,HOLLAND & KNIGHT LLP,"CHROMALLOY GAS TURBINE, LLC",80000,2d005098-37c5-4558-8e86-1fabbcfaf5ff,https://lda.senate.gov/filings/public/filing/2d005098-37c5-4558-8e86-1fabbcfaf5ff/print/
2023-Q3,hire,SQUIRE PATTON BOGGS,"CLEAN HARBORS, INC.",80000,39396bcc-bcb6-45d0-9881-72d79e66df9c,https://lda.senate.gov/filings/public/filing/39396bcc-bcb6-45d0-9881-72d79e66df9c/print/
2023-Q3,hire,BLANK ROME GOVERNMENT RELATIONS,DELFIN MIDSTREAM INC.,80000,2ac53f0f-72bf-4af9-a934-afaeb52450bc,https://lda.senate.gov/filings/public/filing/2ac53f0f-72bf-4af9-a934-afaeb52450bc/print/
2023-Q3,hire,"MILLER STRATEGIES, LLC",Electronic Payments Coalition,80000,c13c8b37-39db-4ae7-b6df-e46e2cbf9179,https://lda.senate.gov/filings/public/filing/c13c8b37-39db-4ae7-b6df-e46e2cbf9179/print/
2023-Q3,hire,INVARIANT LLC,LOGITECH,80000,60a47b93-769b-4cf8-99a4-226391b644c4,https://lda.senate.gov/filings/public/filing/60a47b93-769b-4cf8-99a4-226391b644c4/print/
2023-Q3,hire,DLA PIPER LLP (US),"Pindrop Security, Inc.",80000,498255cc-ddb3-4da2-82a5-0f171b1f9f67,https://lda.senate.gov/filings/public/filing/498255cc-ddb3-4da2-82a5-0f171b1f9f67/print/
2023-Q3,hire,STRATEGIC MARKETING INNOVATIONS,Poplicus Inc. d/b/a Govini,80000,964e3066-bf59-4cb6-a89d-ff2f04a70881,https://lda.senate.gov/filings/public/filing/964e3066-bf59-4cb6-a89d-ff2f04a70881/print/
2023-Q3,hire,BOUNDARY STONE PARTNERS,"REC AMERICAS, LLC",80000,0321b049-c866-4da3-ab96-a6de0ae1652e,https://lda.senate.gov/filings/public/filing/0321b049-c866-4da3-ab96-a6de0ae1652e/print/
2023-Q3,hire,BGR GOVERNMENT AFFAIRS,"Valero Services, Inc.",80000,d8d12ed7-66ad-45ea-b88d-8c6cb3db98f0,https://lda.senate.gov/filings/public/filing/d8d12ed7-66ad-45ea-b88d-8c6cb3db98f0/print/
2023-Q3,hire,O'NEIL BRADLEY CONSULTING LLC,"Virtu Financial, LLC",80000,5c7c0812-354f-4507-bb82-dbb9390af549,https://lda.senate.gov/filings/public/filing/5c7c0812-354f-4507-bb82-dbb9390af549/print/
2023-Q3,hire,FS VECTOR LLC,AUDENZIA ADVISORS LLC,70000,a72a8388-4851-4ce8-9dd9-03436a0fe462,https://lda.senate.gov/filings/public/filing/a72a8388-4851-4ce8-9dd9-03436a0fe462/print/
2023-Q3,term,SQUIRE PATTON BOGGS,"DJI Technology, Inc.",600000,94b2e57f-0790-4f13-949a-1162b01c4a24,https://lda.senate.gov/filings/public/filing/94b2e57f-0790-4f13-949a-1162b01c4a24/print/
2023-Q3,term,AKIN GUMP STRAUSS HAUER & FELD,ZERO TECHNOLOGIES LLC D/B/A ZEROWATER,410000,8061dfdf-f3b3-4185-985e-f7c4912d3a08,https://lda.senate.gov/filings/public/filing/8061dfdf-f3b3-4185-985e-f7c4912d3a08/print/
2023-Q3,term,INVARIANT LLC,"Palo Alto Networks, Inc.",400000,55bf7c70-8078-45ef-835b-6e0d046d01a0,https://lda.senate.gov/filings/public/filing/55bf7c70-8078-45ef-835b-6e0d046d01a0/print/
2023-Q3,term,AKIN GUMP STRAUSS HAUER & FELD,BRADLEY LANE INVESTMENT COMPANY,360000,836c39db-9e44-4dab-9891-00c82efb4a79,https://lda.senate.gov/filings/public/filing/836c39db-9e44-4dab-9891-00c82efb4a79/print/
2023-Q3,term,VITELLO CONSULTING,CARROLLTON REGIONAL MEDICAL CENTER,360000,9e76339c-8523-4e75-a0bd-02eaffecc902,https://lda.senate.gov/filings/public/filing/9e76339c-8523-4e75-a0bd-02eaffecc902/print/
2023-Q3,term,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",American Unity Fund,350000,ffa6f6c5-2987-4371-9884-0a71b115563b,https://lda.senate.gov/filings/public/filing/ffa6f6c5-2987-4371-9884-0a71b115563b/print/
