client,old_firm,new_firm,hire_dq,move,client_q_canonical_spend,term_uuid,term_lda_url,hire_uuid,hire_lda_url
"HeartFlow, Inc.","DB3, LLC (FKA THE DASCHLE GROUP)","KOUNTOUPES DENHAM CARR & REID, LLC",1,,90000,52d111c6-4986-4750-9052-05f42794163d,https://lda.senate.gov/filings/public/filing/52d111c6-4986-4750-9052-05f42794163d/print/,530d5f23-b8b0-48c6-9061-50b2144b670a,https://lda.senate.gov/filings/public/filing/530d5f23-b8b0-48c6-9061-50b2144b670a/print/
MP Materials,STRATEGIC MARKETING INNOVATIONS,MP MATERIALS CORP.,0,to-inhouse,90000,be2b7a1b-47ac-4e64-8471-b62ebd14c8c4,https://lda.senate.gov/filings/public/filing/be2b7a1b-47ac-4e64-8471-b62ebd14c8c4/print/,254f3f9d-7485-4b87-afed-7322d86cc74a,https://lda.senate.gov/filings/public/filing/254f3f9d-7485-4b87-afed-7322d86cc74a/print/
Clover Health,"MEHLMAN CONSULTING, INC.",LOPER CONSULTING LLC,-1,,80000,af9c875f-57c6-4d67-a95c-aa6776f96522,https://lda.senate.gov/filings/public/filing/af9c875f-57c6-4d67-a95c-aa6776f96522/print/,06613d0d-87be-46cb-a4c8-f641fce128b0,https://lda.senate.gov/filings/public/filing/06613d0d-87be-46cb-a4c8-f641fce128b0/print/
Manildra Milling Corporation,"SBL STRATEGIES, LLC","COVENANT GOVERNMENT AFFAIRS, LLC",1,,80000,6c5f6024-275d-4178-9d94-638d21e7ca63,https://lda.senate.gov/filings/public/filing/6c5f6024-275d-4178-9d94-638d21e7ca63/print/,06f041a9-2003-4e3c-8e5c-fcbed26fa750,https://lda.senate.gov/filings/public/filing/06f041a9-2003-4e3c-8e5c-fcbed26fa750/print/
SUNRISE FOODS INTERNATIONAL (USA) INC.,"CORNERSTONE GOVERNMENT AFFAIRS, INC.","THE LIVINGSTON GROUP, LLC",0,,80000,099eb678-195a-422c-ac31-353b099b1249,https://lda.senate.gov/filings/public/filing/099eb678-195a-422c-ac31-353b099b1249/print/,2a78ae12-ffd6-422a-8038-59645a29e031,https://lda.senate.gov/filings/public/filing/2a78ae12-ffd6-422a-8038-59645a29e031/print/
SUNRISE FOODS INTERNATIONAL (USA) INC.,"CROSSROADS STRATEGIES, LLC","THE LIVINGSTON GROUP, LLC",0,,80000,9a5bcc17-a241-4aaa-8333-26215af7fb7f,https://lda.senate.gov/filings/public/filing/9a5bcc17-a241-4aaa-8333-26215af7fb7f/print/,2a78ae12-ffd6-422a-8038-59645a29e031,https://lda.senate.gov/filings/public/filing/2a78ae12-ffd6-422a-8038-59645a29e031/print/
"Solar Energy Manufacturers for America Coalition, Inc.",BOUNDARY STONE PARTNERS,MISSION STRATEGIES LLC (ENERGY),0,,80000,cb69fab2-d229-4827-9c4d-9b317f7e72e3,https://lda.senate.gov/filings/public/filing/cb69fab2-d229-4827-9c4d-9b317f7e72e3/print/,09a706c3-037d-4346-9829-7db11657435b,https://lda.senate.gov/filings/public/filing/09a706c3-037d-4346-9829-7db11657435b/print/
"ZEROEYES, INC.",WASHINGTON2 ADVOCATES,AQUIA GROUP INC. (F.K.A. AQUIA GROUP LLC),1,,80000,4b1c243e-a2bd-428b-bbdc-91f927165a6b,https://lda.senate.gov/filings/public/filing/4b1c243e-a2bd-428b-bbdc-91f927165a6b/print/,546c4f42-3817-48ed-82b7-65bd5afac88e,https://lda.senate.gov/filings/public/filing/546c4f42-3817-48ed-82b7-65bd5afac88e/print/
"Odyssey Marine Exploration, Inc.","CONTINENTAL STRATEGY, LLC",CAPCVENTURES LLC,0,,75000,ccc186fe-9c21-4837-bd54-7f3d6009f0a9,https://lda.senate.gov/filings/public/filing/ccc186fe-9c21-4837-bd54-7f3d6009f0a9/print/,bc02d5cb-9a54-49de-bdaf-fb7611dc32f6,https://lda.senate.gov/filings/public/filing/bc02d5cb-9a54-49de-bdaf-fb7611dc32f6/print/
"Odyssey Marine Exploration, Inc.","CONTINENTAL STRATEGY, LLC","TOWER STRATEGY, LLC",0,,75000,ccc186fe-9c21-4837-bd54-7f3d6009f0a9,https://lda.senate.gov/filings/public/filing/ccc186fe-9c21-4837-bd54-7f3d6009f0a9/print/,19e995a9-c3af-47cb-822b-c27819e58a50,https://lda.senate.gov/filings/public/filing/19e995a9-c3af-47cb-822b-c27819e58a50/print/
