recipient_raw,items,total
REP. THOMAS JEFFERY COLE,34,74000.0
REP. TOM COLE,28,74000.0
ADAM SMITH,28,73900.0
"CALVERT, KEN",17,73500.0
REP. HALEY STEVENS,21,73500.0
MARY PELTOLA,34,73185.0
MARTIN HEINRICH,31,73064.0
SEN KIRSTEN GILLIBRAND,7,73000.0
REP. KAY GRANGER,24,72500.0
SEN. MARKWAYNE MULLIN,34,72167.0
REP. MARILYN STRICKLAND,46,72000.0
REP. STEVEN ALEXZANDER HORSFORD,38,72000.0
SEN. JOHN ANTHONY BARRASSO,27,72000.0
REP. TROY BALDERSON,41,71700.0
REP KATHERINE CLARK,25,71500.0
"MCCOLLUM, BETTY",30,71000.0
REP JAMES E CLYBURN,26,71000.0
"SEN. JOHN CORNYN, III",21,71000.0
MARCO RUBIO,19,70500.0
SEN. JEANNE SHAHEEN,22,70500.0
SEN. JERRY W. MORAN,27,70500.0
NRCC BUILDING FUND,2,70000.0
REP. STEPHEN ALLEN WOMACK,23,70000.0
REPUBLICAN MAINSTREET PARTNERSHIP PAC,14,70000.0
SPONSORSHIP OF THE 2024 NATIONAL BOOK FESTIVAL,1,70000.0
SPONSORSHIP OF THE CHAIRMAN'S LEVEL MEMBERSHIP,2,70000.0
SEN. DEB FISCHER,40,69950.0
FRANK PALLONE,25,69500.0
"FITZPATRICK, BRIAN",21,69000.0
JAMES LANKFORD,24,69000.0
SHARICE DAVIDS,40,68750.0
CATHY MCMORRIS RODGERS,24,68500.0
REP. ANDREW GARBARINO,36,68500.0
REP. STEVEN HORSFORD,29,68500.0
TROY NEHLS,44,68500.0
MARILYN STRICKLAND,34,68000.0
ROBERT MENENDEZ,23,68000.0
SEN JOHN A BARRASSO,24,68000.0
SEN KATIE BRITT,20,68000.0
"COLLINS, SUSAN",24,67500.0
DUSTY JOHNSON,33,67500.0
REP KEN CALVERT,18,67000.0
ROB WITTMAN,27,66750.0
REP. PETE STAUBER,40,66710.0
SEN. DEBRA S. FISCHER,27,66500.0
REP. VERONICA ESCOBAR,34,66250.0
BRETT GUTHRIE,33,66000.0
MIKE LEE,20,66000.0
RYAN ZINKE,29,66000.0
THEODORE (TED) P. BUDD,16,66000.0
LISA MURKOWSKI,27,65900.0
NIKKI BUDZINSKI,23,65750.0
GARY PETERS,21,65500.0
DAVID VALADAO,37,65250.0
"HOYER, STENY",19,65000.0
MEMBERS OF THE DEMOCRATIC NATIONAL COMMITTEE,3,65000.0
DEREK KILMER,31,64500.0
REP. KATHERINE M. CLARK,25,64500.0
SEN JOHN BOOZMAN,21,64500.0
SEN. JOHN CORNYN,24,64500.0
"WICKER, ROGER",20,64500.0
HALEY STEVENS,28,64463.0
BOB CASEY,26,64219.0
JACKY ROSEN,27,64155.0
"CORNYN, JOHN",16,64000.0
REP DAVID ROUZER,23,64000.0
JULIA BROWNLEY,37,63500.0
REP. JAY OBERNOLTE,41,63500.0
REP. DEBBIE WASSERMAN SCHULTZ,27,63000.0
REP. MARC VEASEY,24,63000.0
SEN. TIMOTHY MICHAEL KAINE,24,63000.0
SEN CHUCK SCHUMER,17,62500.0
TIM SCOTT,22,62500.0
SHONTEL BROWN,27,62350.0
REP. DARIN M. LAHOOD,35,62000.0
REP. JOHN MOOLENAAR,49,62000.0
SEN JOHN CORNYN III,27,62000.0
MEMBERSHIP DUES,5,61800.0
"ESTES, RON",27,61500.0
MARK DESAULNIER,24,61500.0
MIKE ROGERS,20,61500.0
SEN JERRY MORAN,20,61500.0
SEN JACKY ROSEN,27,61200.0
DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,5,61000.0
"REP. FRANK PALLONE, JR",20,61000.0
REP. RICHARD EDMUND NEAL,27,61000.0
SEN. JOHN NICHOLS BOOZMAN,21,61000.0
SEN. MARSHA WEDGEWORTH BLACKBURN,25,61000.0
REP CATHY MCMORRIS RODGERS,23,60500.0
REP. STEVE SCALISE,23,60500.0
SEAN CASTEN,28,60500.0
SEN. KYRSTEN SINEMA,23,60500.0
SEN. SUSAN COLLINS,24,60167.0
