member,giver_slice,raw_recipient_string_as_filed,tier,confidence,source,total,items
Rep. Glenn Thompson (R-PA),crypto_native,REP. GLENN THOMPSON,direct,title-initial,person-name,10750.0,6
Rep. Grace Meng (D-NY),crypto_native,REP. GRACE MENG,direct,matched,person-name,2000.0,2
Rep. Gregory W. Meeks (D-NY),crypto_native,"CONGRESSIONAL BLACK CAUCUS FOUNDATION, SEN. LISA BLUNT ROCHESTER, REP. HAKEEM JEFFRIES, REP. GREGORY MEEKS, REP. YVETTE CLARKE, REP. ROBIN KELLY, REP. LAUREN UNDERWOOD, REP. JONATHAN JACKSON, REP. DWIGHT EVANS AND REP. GABE AMO","multi-honoree, unallocated",compound:matched,person-name,15000.0,1
Rep. Gregory W. Meeks (D-NY),diversified_core,GREGORY MEEKS,direct,matched,person-name,155000.0,64
Rep. Gregory W. Meeks (D-NY),diversified_core,REP. GREGORY MEEKS,direct,matched,person-name,146700.0,63
Rep. Gregory W. Meeks (D-NY),diversified_core,REP. GREGORY WELDON MEEKS,direct,matched,person-name,72500.0,41
Rep. Gregory W. Meeks (D-NY),diversified_core,REP GREGORY W MEEKS,direct,matched,person-name,60500.0,19
Rep. Guy Reschenthaler (R-PA),diversified_core,REP. GUY RESCHENTHALER,direct,matched,person-name,61500.0,20
Rep. Guy Reschenthaler (R-PA),diversified_core,REP GUY RESCHENTHALER,direct,matched,person-name,61500.0,23
Rep. Gwen Moore (D-WI),diversified_core,REP. GWEN MOORE,direct,matched,person-name,79500.0,32
Rep. Hakeem S. Jeffries (D-NY),crypto_native,"CONGRESSIONAL BLACK CAUCUS FOUNDATION, SEN. LISA BLUNT ROCHESTER, REP. HAKEEM JEFFRIES, REP. GREGORY MEEKS, REP. YVETTE CLARKE, REP. ROBIN KELLY, REP. LAUREN UNDERWOOD, REP. JONATHAN JACKSON, REP. DWIGHT EVANS AND REP. GABE AMO","multi-honoree, unallocated",compound:matched,person-name,15000.0,1
Rep. Hakeem S. Jeffries (D-NY),crypto_native,REP. HAKEEM JEFFRIES,direct,matched,person-name,5000.0,2
Rep. Hakeem S. Jeffries (D-NY),crypto_native,JEFFRIES FOR CONGRESS,campaign-committee,linked,committee-exact/fec-ccl,500.0,1
Rep. Hakeem S. Jeffries (D-NY),diversified_core,REP. HAKEEM JEFFRIES,direct,matched,person-name,232000.0,62
Rep. Hakeem S. Jeffries (D-NY),diversified_core,HAKEEM JEFFRIES,direct,matched,person-name,172100.0,53
Rep. Hakeem S. Jeffries (D-NY),diversified_core,REP HAKEEM JEFFRIES,direct,matched,person-name,120000.0,28
Rep. Hakeem S. Jeffries (D-NY),diversified_core,REP. HAKEEM S. JEFFRIES,direct,matched,person-name,82000.0,28
Rep. Haley M. Stevens (D-MI),crypto_native,REP. HALEY STEVENS,direct,matched,person-name,1000.0,1
Rep. Haley M. Stevens (D-MI),diversified_core,REP. HALEY STEVENS,direct,matched,person-name,67500.0,21
Rep. Henry Cuellar (D-TX),crypto_native,REP. HENRY CUELLAR,direct,matched,person-name,1000.0,2
Rep. J. French Hill (R-AR),crypto_native,REP. JAMES FRENCH HILL,direct,matched,person-name,24800.0,9
Rep. J. French Hill (R-AR),crypto_native,REP. FRENCH HILL,direct,matched,person-name,7250.0,6
Rep. J. French Hill (R-AR),crypto_native,FRENCH HILL,direct,matched,person-name,5450.0,5
Rep. J. French Hill (R-AR),crypto_native,FRENCH HILL FOR ARKANSAS IN THE ARENA PAC NRCC,campaign-committee,prefix,committee-prefix/fec-ccl,3500.0,1
Rep. J. French Hill (R-AR),crypto_native,FRENCH HILL FOR ARKANSAS; IN THE ARENA PAC; NRCC,campaign-committee,compound:linked,committee-exact/fec-ccl,3300.0,1
Rep. J. French Hill (R-AR),crypto_native,FRENCH HILL FOR ARKANSAS; IN THE ARENA PAC; NRCC,leadership-pac,compound:linked,committee-exact/openfec-sponsor,3300.0,1
Rep. J. French Hill (R-AR),crypto_native,TEAM HILL,"jfc-shared, unallocated",inferred,committee-exact/name-inference,500.0,1
Rep. J. French Hill (R-AR),diversified_core,REP. FRENCH HILL,direct,matched,person-name,295700.0,97
Rep. J. French Hill (R-AR),diversified_core,FRENCH HILL,direct,matched,person-name,276650.0,94
Rep. J. French Hill (R-AR),diversified_core,REP FRENCH HILL,direct,matched,person-name,146500.0,40
Rep. J. French Hill (R-AR),diversified_core,REP. J. FRENCH HILL,direct,matched,person-name,139500.0,48
Rep. J. French Hill (R-AR),diversified_core,"HILL, FRENCH",direct,inverted,person-name,78000.0,24
Rep. Jack Bergman (R-MI),crypto_native,JACK BERGMAN,direct,matched,person-name,500.0,1
Rep. Jake Auchincloss (D-MA),crypto_native,REP. JAKE AUCHINCLOSS,direct,matched,person-name,6800.0,2
Rep. James A. Himes (D-CT),crypto_native,JIM HIMES,direct,matched,person-name,10800.0,3
Rep. James A. Himes (D-CT),crypto_native,REP. JIM HIMES,direct,matched,person-name,1500.0,2
Rep. James A. Himes (D-CT),diversified_core,REP. JIM HIMES,direct,matched,person-name,149500.0,64
Rep. James A. Himes (D-CT),diversified_core,JIM HIMES,direct,matched,person-name,147500.0,73
Rep. James A. Himes (D-CT),diversified_core,REP JIM HIMES,direct,matched,person-name,93500.0,33
Rep. James A. Himes (D-CT),diversified_core,REP. JAMES ANDREW HIMES,direct,matched,person-name,64000.0,34
Rep. James E. Clyburn (D-SC),diversified_core,REP. JAMES CLYBURN,direct,matched,person-name,86000.0,23
Rep. James E. Clyburn (D-SC),diversified_core,JAMES CLYBURN,direct,matched,person-name,67500.0,22
Rep. James E. Clyburn (D-SC),diversified_core,REP JAMES E CLYBURN,direct,matched,person-name,60000.0,16
Rep. James E. Clyburn (D-SC),diversified_core,REP. JAMES ENOS CLYBURN,direct,matched,person-name,53500.0,18
Rep. Janelle S. Bynum (D-OR),crypto_native,REP. JANELLE BYNUM,direct,matched,person-name,2000.0,3
Rep. Janelle S. Bynum (D-OR),crypto_native,JANELLE BYNUM,direct,matched,person-name,500.0,1
Rep. Janelle S. Bynum (D-OR),crypto_native,HON. JANELLE BYNUM,direct,matched,person-name,250.0,1
Rep. Jared Moskowitz (D-FL),crypto_native,REP. JARED MOSKOWITZ,direct,matched,person-name,2000.0,2
Rep. Jasmine Crockett (D-TX),crypto_native,REP. JASMINE CROCKETT,direct,matched,person-name,2000.0,2
Rep. Jasmine Crockett (D-TX),crypto_native,JASMINE FOR US,campaign-committee,linked,committee-exact/fec-ccl,1000.0,1
Rep. Jason Smith (R-MO),crypto_native,REP. JASON SMITH,direct,matched,person-name,6000.0,3
Rep. Jason Smith (R-MO),crypto_native,REP. JASON T. SMITH,direct,matched,person-name,3500.0,1
Rep. Jason Smith (R-MO),diversified_core,REP. JASON SMITH,direct,matched,person-name,150000.0,40
Rep. Jason Smith (R-MO),diversified_core,REP JASON SMITH,direct,matched,person-name,122500.0,32
Rep. Jason Smith (R-MO),diversified_core,JASON SMITH,direct,matched,person-name,110500.0,38
Rep. Jason Smith (R-MO),diversified_core,"SMITH, JASON",direct,inverted,person-name,71500.0,25
Rep. Jason Smith (R-MO),diversified_core,REP. JASON THOMAS SMITH,direct,matched,person-name,68000.0,17
Rep. Jennifer Wexton (D-VA),crypto_native,REP. JENNIFER WEXTON,direct,matched,person-name,250.0,1
Rep. Jimmy Gomez (D-CA),crypto_native,REP. JIMMY GOMEZ,direct,matched,person-name,1000.0,1
Rep. Jimmy Panetta (D-CA),crypto_native,REP. JIMMY PANETTA,direct,matched,person-name,1000.0,1
Rep. Jimmy Panetta (D-CA),diversified_core,REP. JIMMY PANETTA,direct,matched,person-name,81000.0,42
Rep. Joe Neguse (D-CO),diversified_core,REP. JOE NEGUSE,direct,matched,person-name,75000.0,34
Rep. John B. Larson (D-CT),diversified_core,REP. JOHN LARSON,direct,matched,person-name,66000.0,25
Rep. Jonathan L. Jackson (D-IL),crypto_native,"CONGRESSIONAL BLACK CAUCUS FOUNDATION, SEN. LISA BLUNT ROCHESTER, REP. HAKEEM JEFFRIES, REP. GREGORY MEEKS, REP. YVETTE CLARKE, REP. ROBIN KELLY, REP. LAUREN UNDERWOOD, REP. JONATHAN JACKSON, REP. DWIGHT EVANS AND REP. GABE AMO","multi-honoree, unallocated",compound:matched,person-name,15000.0,1
Rep. Joseph D. Morelle (D-NY),diversified_core,REP. JOSEPH MORELLE,direct,matched,person-name,77500.0,33
Rep. Josh Gottheimer (D-NJ),crypto_native,REP. JOSH GOTTHEIMER,direct,matched,person-name,10650.0,7
Rep. Josh Gottheimer (D-NJ),diversified_core,JOSH GOTTHEIMER,direct,matched,person-name,134000.0,55
Rep. Josh Gottheimer (D-NJ),diversified_core,REP. JOSH GOTTHEIMER,direct,matched,person-name,115500.0,45
