member (merged row in the split CSV),party_source,giver_slice,raw_recipient_string_as_filed,total,items
Rep. Ritchie Torres (D-NY),members-table,diversified_core,RITCHIE TORRES,89500.0,45
Rep. Ritchie Torres (D-NY),members-table,diversified_core,REP. RITCHIE J. TORRES,56000.0,35
Rep. Ro Khanna (D-CA),members-table,crypto_native,RO KHANNA,7100.0,2
Rep. Ro Khanna (D-CA),members-table,crypto_native,REP. ROHIT KHANNA,3500.0,1
Rep. Robert Garcia (D-CA),members-table,crypto_native,REP. ROBERT GARCIA,1000.0,1
Rep. Robert Menendez (D-NJ),members-table,crypto_native,REP. ROB MENENDEZ,1500.0,1
Rep. Robert Menendez (D-NJ),members-table,crypto_native,SEN. ROBERT MENENDEZ,1000.0,1
Rep. Robert Menendez (D-NJ),members-table,crypto_native,REP. ROBERT J. MENENDEZ,1000.0,2
Rep. Robin L. Kelly (D-IL),members-table,diversified_core,REP. ROBIN KELLY,75133.0,34
Rep. Roger Williams (R-TX),members-table,diversified_core,REP. ROGER WILLIAMS,85250.0,32
Rep. Ron Estes (R-KS),members-table,diversified_core,REP. RON ESTES,112000.0,42
Rep. Ron Estes (R-KS),members-table,diversified_core,REP RON ESTES,53750.0,26
Rep. Sam T. Liccardo (D-CA),members-table,crypto_native,REP. SAM LICCARDO,4300.0,3
Rep. Sam T. Liccardo (D-CA),members-table,crypto_native,SAM LICCARDO,1000.0,1
Rep. Sarah McBride (D-DE),members-table,crypto_native,REP. SARAH ELIZABETH MCBRIDE,500.0,1
Rep. Scott Fitzgerald (R-WI),members-table,diversified_core,REP. SCOTT FITZGERALD,80750.0,37
Rep. Sean Casten (D-IL),members-table,diversified_core,REP. SEAN CASTEN,164500.0,77
Rep. Sean Casten (D-IL),members-table,diversified_core,SEAN CASTEN,72000.0,33
Rep. Sean Casten (D-IL),members-table,diversified_core,REP SEAN CASTEN,63500.0,23
Rep. Sharice Davids (D-KS),members-table,diversified_core,REP. SHARICE DAVIDS,62590.0,30
Rep. Shomari Figures (D-AL),members-table,crypto_native,REP. SHOMARI FIGURES,500.0,2
