quarter,date,member_name,party,state,chamber,title,url,src_file,src_line
2022-Q1,2022-03-30,Mark R. Warner,Democrat,VA,Senate,"Warner, Colleagues Champion US Critical Mineral Independence from China",https://www.warner.senate.gov/public/index.cfm/pressreleases?ID=33FEDA4E-C58C-4604-8BF0-3C488D8937AB,congress_press/2022/2022-03.jsonl,2204
2022-Q1,2022-03-31,Dan Newhouse,Republican,WA,House,Newhouse Introduces Legislation to Protect Americans from President Biden’s Anti-Energy Agenda,https://newhouse.house.gov/media-center/press-releases/newhouse-introduces-legislation-protect-americans-president-bidens-anti,congress_press/2022/2022-03.jsonl,2277
2022-Q1,2022-03-31,Raul Ruiz,Democrat,CA,House,"Dr. Ruiz Applauds Biden Administration’s Bold Action to Boost Mining of Critical Minerals, EV Production",https://ruiz.house.gov/media-center/press-releases/dr-ruiz-applauds-biden-administration-s-bold-action-boost-mining,congress_press/2022/2022-03.jsonl,2282
2022-Q1,2022-03-31,Lisa Murkowski,Republican,AK,Senate,DPA Announcement on Mineral Security Will Benefit Alaska,https://www.murkowski.senate.gov/press/release/dpa-announcement-on-mineral-security-will-benefit-alaska,congress_press/2022/2022-03.jsonl,2319
2022-Q2,2022-04-06,Raul Ruiz,Democrat,CA,House,Dr. Ruiz Grills Big Oil CEOs in Congressional Hearing,https://ruiz.house.gov/media-center/press-releases/dr-ruiz-grills-big-oil-ceos-congressional-hearing,congress_press/2022/2022-04.jsonl,347
2022-Q2,2022-04-11,Daniel Webster,Republican,FL,House,Webster Sponsors Legislation to Ban Russian Timber,https://webster.house.gov/press-releases?ID=65B0B5DC-73FB-4744-95F4-B76EEF86504A,congress_press/2022/2022-04.jsonl,679
2022-Q2,2022-04-13,Mitch McConnell,Republican,KY,Senate,McConnell Comments on $2 Billion Investment Announcement for Bowling Green,https://www.mcconnell.senate.gov/public/index.cfm/pressreleases?ID=9E5C1051-1D9D-43AA-9C6C-58C77DAD3D33,congress_press/2022/2022-04.jsonl,782
2022-Q2,2022-04-14,Lisa Murkowski,Republican,AK,Senate,Murkowski Statement on Highest Inflation in Four Decades,https://www.murkowski.senate.gov/press/release/murkowski-statement-on-highest-inflation-in-four-decades,congress_press/2022/2022-04.jsonl,829
2022-Q2,2022-04-18,Charles E. Schumer,Democrat,NY,Senate,AFTER SECURING BINGHAMTON’S SPOT ON THE SHORTLIST FOR THE EDA’S POTENTIAL $100 MILLION REGIONAL CHALLENGE AWARD SCHUMER DOUBLES DOWN ON HIS EFFORT TO SECURE SOUTHERN TIER AS AMERICA’S NEXT MAJOR...,https://www.schumer.senate.gov/newsroom/press-releases/after-securing-binghamtons-spot-on-the-shortlist-for-the-edas-potential-100-million-regional-challenge-award-schumer-doubles-down-on-his-effort-to-secure-southern-tier-as-americas-next-major-battery-research-and-manufacturing-hub,congress_press/2022/2022-04.jsonl,896
2022-Q2,2022-04-22,Sean Casten,Democrat,IL,House,Casten Statement on Earth Day,https://casten.house.gov/media/press-releases/casten-statement-earth-day,congress_press/2022/2022-04.jsonl,1048
2022-Q2,2022-04-27,Scott Franklin,Republican,FL,House,Franklin and Moulton Urge House Appropriators to Revive  National Defense Stockpile Funding,https://franklin.house.gov/news/documentsingle.aspx?DocumentID=264,congress_press/2022/2022-04.jsonl,1226
2022-Q2,2022-04-27,Seth Moulton,Democrat,MA,House,Moulton and Franklin Urge House Appropriators to Revive National Defense Stockpile Funding,https://moulton.house.gov/news/press-releases/moulton-and-franklin-urge-house-appropriators-revive-national-defense-stockpile,congress_press/2022/2022-04.jsonl,1256
