recipient_raw,items,total
REP. SUZAN KAY DELBENE,24,41000.0
SEN. L. TAMMY DUCKWORTH,14,41000.0
THOM TILLIS,13,41000.0
DINA TITUS,16,40500.0
MIKE BOST,14,40500.0
TERRI SEWELL,22,40500.0
KATIE BRITT,14,40100.0
ROBIN KELLY,17,40050.0
BLUE DOG PAC,8,40000.0
CATHY MCMORRIS RODGERS,18,40000.0
KATHERINE CLARK,15,40000.0
REP. JASON SMITH,18,40000.0
"REP. SAMUEL BRUCE GRAVES, JR",17,40000.0
REP. SCOTT H. PETERS,22,40000.0
SEN. CHARLES E. SCHUMER,10,40000.0
SEN. ERIC S. SCHMITT,12,40000.0
SEN. JEANNE SHAHEEN,13,40000.0
ANGIE CRAIG,15,39000.0
BRYAN STEIL,18,39000.0
CONGRESSIONAL HISPANIC CAUCUS INSTITUTE INC,4,39000.0
DANIEL NEWHOUSE,19,39000.0
JOHN BOOZMAN,16,39000.0
SEN. CHARLES E. GRASSLEY,11,39000.0
SEN. GARY CHARLES PETERS,11,39000.0
SEN. KEVIN JOHN CRAMER,18,39000.0
"SMITH, JASON",16,39000.0
RYAN ZINKE,25,38999.0
DEBBIE DINGELL,14,38509.0
JIM COSTA,18,38500.0
JOHN HOEVEN,16,38500.0
MICHAEL MCCAUL,14,38500.0
REP. ANDREW R. GARBARINO,19,38500.0
REP. LISA BLUNT ROCHESTER,20,38500.0
REP. LISA C. MCCLAIN,19,38500.0
ADAM SMITH,16,38250.0
ANDY BARR,15,38000.0
BRAD FINSTAD,18,38000.0
MARCO RUBIO,12,38000.0
"REP. RICHARD LANE HUDSON, JR",17,38000.0
SEN SHELLEY MOORE CAPITO,21,38000.0
"SEN. JOHN HENRY HOEVEN, III",14,38000.0
SEN. LINDSEY OLIN GRAHAM,8,38000.0
MODERATE DEMOCRATS PAC,8,37500.0
REP. CAROL DEVINE MILLER,15,37500.0
REP. DEBORAH ANN DINGELL,12,37500.0
BOB LATTA,20,37000.0
REP. DARIN M. LAHOOD,22,37000.0
REP. KENNETH S. CALVERT,12,37000.0
REP. MIKE CAREY,25,37000.0
SEN THOM TILLIS,10,37000.0
SEN. TODD CHRISTOPHER YOUNG,14,37000.0
REP. ANDREW GARBARINO,19,36590.0
MIKE GALLAGHER,12,36500.0
"NEAL, RICHARD",15,36500.0
REP. ROBERT JOSEPH WITTMAN,14,36500.0
SEN. CHRISTOPHER ANDREW COONS,17,36500.0
SEN. STEVE DAVID DAINES,9,36500.0
SEN. MARK WARNER,14,36350.0
ROGER WICKER,13,36250.0
"ADAMS, ALMA",18,36000.0
MICHAEL TURNER,17,36000.0
REP NIKKI BUDZINSKI,13,36000.0
REP. DANIEL MILTON NEWHOUSE,19,36000.0
SEN. SUSAN MARGARET COLLINS,15,36000.0
STEVE WOMACK,11,36000.0
KEVIN CRAMER,15,35500.0
REP. ROSA L. DELAURO,15,35500.0
SEN. SHERROD CAMPBELL BROWN,14,35500.0
SEN. THOM TILLIS,11,35500.0
SEN. JOHN CORNYN,14,35041.0
GARY PETERS,12,35000.0
JIMMY PANETTA,15,35000.0
"MARYLAND GOV. WES MOORE, THE LATE REP. SHEILA JACKSON-LEE (D-TX)",1,35000.0
MIKE ROUNDS,12,35000.0
SEN. RICHARD JOSEPH DURBIN,10,35000.0
SEN. ROY BLUNT,2,35000.0
JON TESTER,20,34650.0
JAMES LANKFORD,10,34500.0
JOSH GOTTHEIMER,17,34500.0
REP RICK LARSEN,22,34500.0
REP. BENNIE THOMPSON,7,34500.0
REP. JIMMY GOMEZ,21,34500.0
REP. MICHAEL R. TURNER,18,34500.0
REP. YVETTE DIANA CLARKE,15,34500.0
DONALD NORCROSS,14,34001.0
JONI ERNST,12,34000.0
KYRSTEN SINEMA,10,34000.0
MICHAEL CRAPO,13,34000.0
PATTY MURRAY,14,34000.0
REP. JAMES ANDREW HIMES,18,34000.0
TIM SCOTT,13,34000.0
ZACH NUNN,12,33750.0
MARIO DIAZ-BALART,12,33500.0
REP ADAM SMITH,13,33500.0
REP. MICHAEL JOHN GALLAGHER,17,33500.0
REP. TONY CARDENAS,15,33500.0
ROSA DELAURO,13,33500.0
SETH MOULTON,14,33500.0
CONGRESSIONAL BLACK CAUCUS,10,33125.0
TED CRUZ,23,33050.0
REP. HILLARY SCHOLTEN,19,33000.0
REP. RICHARD NEAL,13,33000.0
"ROUZER, DAVID",15,33000.0
CATHERINE CORTEZ-MASTO,7,32500.0
MIKE GARCIA,13,32500.0
REP. JODEY COOK ARRINGTON,17,32500.0
REP. NANCY PELOSI,8,32500.0
SALUD CARBAJAL,21,32500.0
SEN. MAZIE KEIKO HIRONO,13,32500.0
WASHINGTON STATE DEMOCRATIC CENTRAL COMMITTEE,8,32500.0
DAVE MCCORMICK,8,32400.0
DAVID SCHWEIKERT,15,32000.0
PETE STAUBER,22,32000.0
REP MARK ALFORD,13,32000.0
RUDY YAKYM,13,32000.0
SEN. TAMMY S. BALDWIN,11,32000.0
SEN. TIMOTHY EUGENE SCOTT,9,32000.0
SHARICE DAVIDS,16,32000.0
BOB CASEY,13,31550.0
DUSTY JOHNSON,11,31500.0
MARK AMODEI,20,31500.0
REP. ELISE M. STEFANIK,14,31500.0
REP. S. BRETT GUTHRIE,17,31500.0
"COLLINS, SUSAN",7,31000.0
ED CASE,15,31000.0
JIM RISCH,10,31000.0
JOHN KENNEDY,8,31000.0
PATRICK MCHENRY,10,31000.0
REP. BETTY LOUISE MCCOLLUM,17,31000.0
REP. KELLY M. ARMSTRONG,11,31000.0
SEN. LISA ANN MURKOWSKI,12,31000.0
SUSAN COLLINS,13,31000.0
SHERROD BROWN,15,30850.0
REP. GUY RESCHENTHALER,13,30750.0
MAGGIE HASSAN,14,30650.0
REP. ANDY BARR,14,30590.0
DON DAVIS,13,30500.0
REP. BRIAN K. FITZPATRICK,15,30500.0
REP. DAVID G. VALADAO,19,30500.0
REP. LINDA T. SANCHEZ,19,30500.0
REP. MARIO RAFAEL DIAZ-BALART,15,30500.0
REP. NICOLE MALLIOTAKIS,15,30500.0
REP. RICHARD EDMUND NEAL (D),14,30500.0
ROBERT ADERHOLT,14,30500.0
DALE STRONG,19,30250.0
RON WYDEN,12,30150.0
"CAPITO, SHELLEY",8,30000.0
LISA MCCLAIN LEADERSHIP FUND,1,30000.0
MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,6,30000.0
REP WESLEY BELL,9,30000.0
REP. HALEY M. STEVENS,14,30000.0
REP. JAKE K. ELLZEY,20,30000.0
REP. YOUNG O. KIM,20,30000.0
SCALISE,1,30000.0
SEN. DEBORAH STABENOW,8,30000.0
SEN. M. MICHAEL ROUNDS,9,30000.0
SEN. MIKE JOHNSON,2,30000.0
SEN. RON L. WYDEN,12,30000.0
TAMMY DUCKWORTH,12,30000.0
FRANK LUCAS,10,29500.0
JAY OBERNOLTE,21,29500.0
REP ASHLEY HINSON,13,29500.0
REP. DAVID PATRICK JOYCE,21,29500.0
REP. JAMES E. BANKS,9,29500.0
TROY CARTER,15,29500.0
